"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1025","0.197","0.2866","0.3672","0.4463","0.5123","0.6147","0.6782"
"myframe_S","E1","15","0.1088","0.2205","0.3216","0.4206","0.5051","0.575","0.6733","0.7426"
"myframe_S","E1","30","0.1373","0.2694","0.3993","0.513","0.6007","0.67","0.758","0.8299"
"myframe_S","E1","45","0.1608","0.3162","0.4601","0.5831","0.6686","0.7243","0.8094","0.885"
"myframe_S","E1","80","0.2028","0.3938","0.5491","0.6641","0.7438","0.7946","0.8813","0.947"
"myframe_S","E1","130","0.2436","0.4664","0.6287","0.73","0.7965","0.8519","0.9373","0.9821"
"myframe_S","E1","215","0.2964","0.5434","0.6979","0.7945","0.8598","0.9086","0.9745","0.9967"
"myframe_S","E1","360","0.3522","0.6103","0.7688","0.8642","0.9234","0.9587","0.9935","0.9998"
"myframe_S","E1","600","0.4034","0.674","0.8239","0.9181","0.9658","0.9873","0.999","1"
"myframe_S","E1","1000","0.434","0.7256","0.8912","0.9662","0.991","0.9982","0.9999","1"
"myframe_S","E2","10","0.1306","0.2558","0.3797","0.5005","0.6055","0.6942","0.8222","0.896"
"myframe_S","E2","15","0.1557","0.3018","0.4456","0.5754","0.6864","0.7704","0.885","0.943"
"myframe_S","E2","30","0.199","0.3898","0.5541","0.6898","0.7988","0.8687","0.9453","0.9794"
"myframe_S","E2","45","0.24","0.4576","0.6516","0.7927","0.8805","0.93","0.9767","0.9952"
"myframe_S","E2","80","0.3029","0.5658","0.7658","0.8875","0.9468","0.9711","0.9955","0.9996"
"myframe_S","E2","130","0.386","0.6832","0.8688","0.9485","0.9792","0.9931","0.9996","1"
"myframe_S","E2","215","0.4778","0.8068","0.9463","0.9839","0.9967","0.9989","1","1"
"myframe_S","E2","360","0.5837","0.8949","0.9831","0.9974","0.9994","0.9999","1","1"
"myframe_S","E2","600","0.7112","0.9623","0.997","1","1","1","1","1"
"myframe_S","E2","1000","0.8208","0.9917","0.9999","1","1","1","1","1"
"myframe_S","E3","10","0.1879","0.3734","0.5414","0.6812","0.7923","0.865","0.9421","0.9778"
"myframe_S","E3","15","0.2055","0.397","0.5695","0.7115","0.8123","0.8836","0.9554","0.9845"
"myframe_S","E3","30","0.2744","0.5119","0.7069","0.837","0.9112","0.9535","0.9874","0.9983"
"myframe_S","E3","45","0.3495","0.6458","0.8372","0.933","0.972","0.9887","0.9986","0.9998"
"myframe_S","E3","80","0.446","0.7689","0.9266","0.9799","0.9947","0.9992","1","1"
"myframe_S","E3","130","0.5483","0.8734","0.9765","0.9961","0.9993","0.9998","1","1"
"myframe_S","E3","215","0.6621","0.9468","0.9949","0.9994","1","1","1","1"
"myframe_S","E3","360","0.7783","0.9872","0.9995","0.9999","1","1","1","1"
"myframe_S","E3","600","0.8892","0.9993","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9572","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.2976","0.5499","0.7372","0.8647","0.9332","0.9661","0.9913","0.9976"
"myframe_S","E4","15","0.3165","0.5949","0.788","0.9014","0.9523","0.9776","0.9956","0.9991"
"myframe_S","E4","30","0.411","0.732","0.8949","0.9666","0.9882","0.9966","0.9999","1"
"myframe_S","E4","45","0.4687","0.7812","0.9375","0.9825","0.9962","0.9988","1","1"
"myframe_S","E4","80","0.5857","0.8969","0.9822","0.9968","1","1","1","1"
"myframe_S","E4","130","0.7062","0.9618","0.9973","0.9998","1","1","1","1"
"myframe_S","E4","215","0.8139","0.9923","0.9998","1","1","1","1","1"
"myframe_S","E4","360","0.9049","0.9992","1","1","1","1","1","1"
"myframe_S","E4","600","0.972","1","1","1","1","1","1","1"
"myframe_S","E4","1000","0.9967","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.4239","0.7356","0.9004","0.9688","0.992","0.9981","0.9999","1"
"myframe_S","E5","15","0.5261","0.8476","0.9677","0.9945","0.9989","0.9997","1","1"
"myframe_S","E5","30","0.682","0.956","0.9965","0.9993","1","1","1","1"
"myframe_S","E5","45","0.7903","0.9869","0.9996","1","1","1","1","1"
"myframe_S","E5","80","0.8995","0.9989","1","1","1","1","1","1"
"myframe_S","E5","130","0.9656","1","1","1","1","1","1","1"
"myframe_S","E5","215","0.9942","1","1","1","1","1","1","1"
"myframe_S","E5","360","0.9994","1","1","1","1","1","1","1"
"myframe_S","E5","600","1","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.4923","0.8157","0.958","0.9947","0.9998","1","1","1"
"myframe_S","E6","15","0.6003","0.9115","0.9915","0.9995","1","1","1","1"
"myframe_S","E6","30","0.7486","0.9783","0.9996","1","1","1","1","1"
"myframe_S","E6","45","0.8437","0.9951","1","1","1","1","1","1"
"myframe_S","E6","80","0.9434","0.9999","1","1","1","1","1","1"
"myframe_S","E6","130","0.984","1","1","1","1","1","1","1"
"myframe_S","E6","215","0.9983","1","1","1","1","1","1","1"
"myframe_S","E6","360","1","1","1","1","1","1","1","1"
"myframe_S","E6","600","1","1","1","1","1","1","1","1"
"myframe_S","E6","1000","1","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.5213","0.8372","0.9655","0.9969","1","1","1","1"
"myframe_S","E7","15","0.5823","0.896","0.9856","0.9988","1","1","1","1"
"myframe_S","E7","30","0.7426","0.9759","0.9993","0.9999","1","1","1","1"
"myframe_S","E7","45","0.8336","0.9944","1","1","1","1","1","1"
"myframe_S","E7","80","0.9341","0.9998","1","1","1","1","1","1"
"myframe_S","E7","130","0.9809","1","1","1","1","1","1","1"
"myframe_S","E7","215","0.9974","1","1","1","1","1","1","1"
"myframe_S","E7","360","0.9997","1","1","1","1","1","1","1"
"myframe_S","E7","600","1","1","1","1","1","1","1","1"
"myframe_S","E7","1000","1","1","1","1","1","1","1","1"
"myframe_S","E8","10","0.4126","0.7225","0.8965","0.9682","0.9911","0.9973","1","1"
"myframe_S","E8","15","0.4701","0.7873","0.9357","0.9829","0.9961","0.9994","1","1"
"myframe_S","E8","30","0.6331","0.9293","0.9932","0.9995","0.9999","1","1","1"
"myframe_S","E8","45","0.7356","0.9698","0.9993","1","1","1","1","1"
"myframe_S","E8","80","0.8533","0.9948","0.9999","1","1","1","1","1"
"myframe_S","E8","130","0.9316","0.9996","1","1","1","1","1","1"
"myframe_S","E8","215","0.9823","1","1","1","1","1","1","1"
"myframe_S","E8","360","0.9978","1","1","1","1","1","1","1"
"myframe_S","E8","600","1","1","1","1","1","1","1","1"
"myframe_S","E8","1000","1","1","1","1","1","1","1","1"
