"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.3996","0.6987","0.876","0.9604","0.9897","0.9976","1","1"
"myframe_S","E1","15","0.4","0.7014","0.8822","0.9621","0.9903","0.9985","1","1"
"myframe_S","E1","30","0.613","0.9173","0.9905","0.9995","1","1","1","1"
"myframe_S","E1","45","0.6948","0.9544","0.9967","0.9999","1","1","1","1"
"myframe_S","E1","80","0.7967","0.9893","0.9994","1","1","1","1","1"
"myframe_S","E1","130","0.9131","0.9993","1","1","1","1","1","1"
"myframe_S","E1","215","0.9692","1","1","1","1","1","1","1"
"myframe_S","E1","360","0.9939","1","1","1","1","1","1","1"
"myframe_S","E1","600","0.9998","1","1","1","1","1","1","1"
"myframe_S","E1","1000","0.9999","1","1","1","1","1","1","1"
"myframe_S","E2","10","0.3353","0.6161","0.808","0.9212","0.9749","0.9938","0.9998","1"
"myframe_S","E2","15","0.461","0.7917","0.9437","0.989","0.9987","0.9999","1","1"
"myframe_S","E2","30","0.5962","0.9036","0.986","0.999","0.9999","1","1","1"
"myframe_S","E2","45","0.7318","0.9729","0.9987","0.9999","1","1","1","1"
"myframe_S","E2","80","0.8538","0.9956","1","1","1","1","1","1"
"myframe_S","E2","130","0.9382","0.9996","1","1","1","1","1","1"
"myframe_S","E2","215","0.9839","1","1","1","1","1","1","1"
"myframe_S","E2","360","0.9981","1","1","1","1","1","1","1"
"myframe_S","E2","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E2","1000","1","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.3989","0.7117","0.8945","0.9729","0.9956","0.9995","1","1"
"myframe_S","E3","15","0.4626","0.7906","0.9415","0.9886","0.9988","0.9999","1","1"
"myframe_S","E3","30","0.6475","0.9393","0.9958","0.9998","1","1","1","1"
"myframe_S","E3","45","0.7465","0.9783","0.9994","1","1","1","1","1"
"myframe_S","E3","80","0.8749","0.9982","0.9999","1","1","1","1","1"
"myframe_S","E3","130","0.9496","1","1","1","1","1","1","1"
"myframe_S","E3","215","0.9894","1","1","1","1","1","1","1"
"myframe_S","E3","360","0.9995","1","1","1","1","1","1","1"
"myframe_S","E3","600","1","1","1","1","1","1","1","1"
"myframe_S","E3","1000","1","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4135","0.7186","0.8962","0.9721","0.9959","0.9996","1","1"
"myframe_S","E4","15","0.4757","0.7999","0.9461","0.9922","0.9995","1","1","1"
"myframe_S","E4","30","0.6641","0.9451","0.9966","0.9999","1","1","1","1"
"myframe_S","E4","45","0.7553","0.9807","0.9998","1","1","1","1","1"
"myframe_S","E4","80","0.8845","0.9981","1","1","1","1","1","1"
"myframe_S","E4","130","0.9521","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.9889","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9992","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3519","0.6515","0.8505","0.9517","0.9901","0.9992","1","1"
"myframe_S","E5","15","0.4207","0.7404","0.9169","0.9837","0.9981","1","1","1"
"myframe_S","E5","30","0.5977","0.9158","0.9908","0.9994","1","1","1","1"
"myframe_S","E5","45","0.7091","0.9627","0.9986","1","1","1","1","1"
"myframe_S","E5","80","0.8288","0.9947","1","1","1","1","1","1"
"myframe_S","E5","130","0.9227","0.9997","1","1","1","1","1","1"
"myframe_S","E5","215","0.9761","1","1","1","1","1","1","1"
"myframe_S","E5","360","0.9966","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.3541","0.6528","0.8439","0.9513","0.9899","0.9988","1","1"
"myframe_S","E6","15","0.374","0.6753","0.8768","0.9675","0.9947","0.9999","1","1"
"myframe_S","E6","30","0.5449","0.8778","0.9827","0.9989","1","1","1","1"
"myframe_S","E6","45","0.64","0.9399","0.9963","1","1","1","1","1"
"myframe_S","E6","80","0.7859","0.9904","1","1","1","1","1","1"
"myframe_S","E6","130","0.8922","0.9993","1","1","1","1","1","1"
"myframe_S","E6","215","0.9649","0.9999","1","1","1","1","1","1"
"myframe_S","E6","360","0.9926","1","1","1","1","1","1","1"
"myframe_S","E6","600","0.9998","1","1","1","1","1","1","1"
"myframe_S","E6","1000","1","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.2344","0.4564","0.6487","0.7993","0.9013","0.9632","0.9975","1"
